city,LAT,LON
Ahmedabad,23.0225,72.5714
Kolkata,22.5726,88.3639
Mumbai,19.076,72.8777
Navi Mumbai,19.033,73.0297
Pune,18.5204,73.8567
Dubai,25.276987,55.296249
Sharjah,25.3463,55.4209
Abu Dhabi,24.4539,54.3773
Delhi,28.7041,77.1025
Chennai,13.0827,80.2707
Hyderabad,17.385,78.4867
Visakhapatnam,17.6868,83.2185
Chandigarh,30.7333,76.7794
Bengaluru,12.9716,77.5946
Jaipur,26.9124,75.7873
Indore,22.7196,75.8577
Kanpur,26.4499,80.3319
Rajkot,22.3039,70.8022
Raipur,21.2514,81.6296
Ranchi,23.3441,85.3096
Cuttack,20.4625,85.8828
Dharamsala,32.219,76.3234
Kochi,9.9312,76.2673
Nagpur,21.1458,79.0882
Johannesburg,-26.2041,28.0473
Centurion,-25.8603,28.1894
Durban,-29.8587,31.0218
Bloemfontein,-29.0852,26.1596
Port Elizabeth,-33.9608,25.6022
Kimberley,-28.7282,24.7499
East London,-33.0292,27.8546
Cape Town,-33.9249,18.4241
